payroll_id,employee_id,hospital_id,simulation_timestamp,gross_salary,net_salary,notes
1,1,,2025-04-25 12:00:00,3059.508846153846,2447.607076923077,Bi-weekly salaried payout
2,2,,2025-04-25 12:00:00,1774.695,1419.756,Bi-weekly salaried payout
3,3,,2025-04-25 12:00:00,6281.816923076923,5025.453538461538,Bi-weekly salaried payout
4,4,,2025-04-25 12:00:00,5133.724615384615,4106.979692307693,Bi-weekly salaried payout
5,5,,2025-04-25 12:00:00,8524.778076923078,6819.822461538462,Bi-weekly salaried payout
6,6,,2025-04-25 12:00:00,4831.425384615384,3865.1403076923075,Bi-weekly salaried payout
7,7,,2025-04-25 12:00:00,11421.691923076924,9137.353538461539,Bi-weekly salaried payout
8,8,,2025-04-25 12:00:00,4677.347307692307,3741.877846153846,Bi-weekly salaried payout
9,9,,2025-04-25 12:00:00,9738.060384615384,7790.448307692308,Bi-weekly salaried payout
10,10,,2025-04-25 12:00:00,6081.8953846153845,4865.516307692308,Bi-weekly salaried payout
11,11,,2025-04-25 12:00:00,9182.599615384615,7346.079692307692,Bi-weekly salaried payout
12,12,,2025-04-25 12:00:00,3676.6130769230767,2941.2904615384614,Bi-weekly salaried payout
13,13,,2025-04-25 12:00:00,9878.520384615385,7902.816307692308,Bi-weekly salaried payout
14,14,,2025-04-25 12:00:00,4732.883461538461,3786.306769230769,Bi-weekly salaried payout
15,15,,2025-04-25 12:00:00,9488.132692307692,7590.506153846154,Bi-weekly salaried payout
16,16,,2025-04-25 12:00:00,3640.541923076923,2912.433538461539,Bi-weekly salaried payout
17,17,,2025-04-25 12:00:00,6921.206923076923,5536.965538461539,Bi-weekly salaried payout
18,18,,2025-04-25 12:00:00,8272.079615384615,6617.663692307692,Bi-weekly salaried payout
19,19,,2025-04-25 12:00:00,3100.625,2480.5,Bi-weekly salaried payout
20,20,,2025-04-25 12:00:00,7395.6861538461535,5916.5489230769235,Bi-weekly salaried payout
21,21,,2025-04-25 12:00:00,5331.755,4265.404,Bi-weekly salaried payout
22,22,,2025-04-25 12:00:00,10262.472307692307,8209.977846153846,Bi-weekly salaried payout
23,23,,2025-04-25 12:00:00,6720.158076923077,5376.126461538462,Bi-weekly salaried payout
24,24,,2025-04-25 12:00:00,4534.585769230769,3627.6686153846154,Bi-weekly salaried payout
25,25,,2025-04-25 12:00:00,6001.539230769231,4801.231384615385,Bi-weekly salaried payout
26,26,,2025-04-25 12:00:00,5837.2719230769235,4669.817538461539,Bi-weekly salaried payout
27,27,,2025-04-25 12:00:00,11276.764230769231,9021.411384615385,Bi-weekly salaried payout
28,28,,2025-04-25 12:00:00,10509.74423076923,8407.795384615385,Bi-weekly salaried payout
29,29,,2025-04-25 12:00:00,3833.2065384615385,3066.5652307692308,Bi-weekly salaried payout
30,30,,2025-04-25 12:00:00,9842.627692307693,7874.102153846155,Bi-weekly salaried payout
31,31,,2025-04-25 12:00:00,8170.1430769230765,6536.114461538462,Bi-weekly salaried payout
32,32,,2025-04-25 12:00:00,8091.439230769231,6473.151384615385,Bi-weekly salaried payout
33,33,,2025-04-25 12:00:00,4669.958076923077,3735.9664615384618,Bi-weekly salaried payout
34,34,,2025-04-25 12:00:00,5236.827692307692,4189.462153846153,Bi-weekly salaried payout
35,35,,2025-04-25 12:00:00,4737.537307692308,3790.0298461538464,Bi-weekly salaried payout
36,36,,2025-04-25 12:00:00,10835.101923076923,8668.08153846154,Bi-weekly salaried payout
37,37,,2025-04-25 12:00:00,6915.507307692308,5532.405846153847,Bi-weekly salaried payout
38,38,,2025-04-25 12:00:00,7233.580384615385,5786.864307692308,Bi-weekly salaried payout
39,39,,2025-04-25 12:00:00,11259.074615384616,9007.259692307693,Bi-weekly salaried payout
40,40,,2025-04-25 12:00:00,1842.0753846153846,1473.6603076923077,Bi-weekly salaried payout
41,41,,2025-04-25 12:00:00,6346.430384615384,5077.144307692308,Bi-weekly salaried payout
42,42,,2025-04-25 12:00:00,8948.442307692309,7158.753846153847,Bi-weekly salaried payout
43,43,,2025-04-25 12:00:00,4456.577692307692,3565.2621538461535,Bi-weekly salaried payout
44,44,,2025-04-25 12:00:00,8195.025384615385,6556.020307692308,Bi-weekly salaried payout
45,45,,2025-04-25 12:00:00,4664.774615384616,3731.8196923076925,Bi-weekly salaried payout
46,46,,2025-04-25 12:00:00,3619.4315384615384,2895.545230769231,Bi-weekly salaried payout
47,47,,2025-04-25 12:00:00,7063.738461538462,5650.99076923077,Bi-weekly salaried payout
48,48,,2025-04-25 12:00:00,8188.174615384615,6550.539692307692,Bi-weekly salaried payout
49,49,,2025-04-25 12:00:00,10355.649615384615,8284.519692307693,Bi-weekly salaried payout
50,50,,2025-04-25 12:00:00,11206.192692307692,8964.954153846154,Bi-weekly salaried payout
51,51,,2025-04-25 12:00:00,9239.56,7391.648,Bi-weekly salaried payout
52,52,,2025-04-25 12:00:00,7422.722307692307,5938.177846153846,Bi-weekly salaried payout
53,53,,2025-04-25 12:00:00,3979.6130769230767,3183.6904615384615,Bi-weekly salaried payout
54,54,,2025-04-25 12:00:00,9751.378076923076,7801.102461538461,Bi-weekly salaried payout
